SWV ITM Data Console - ITM Port: 0
-1045.469238
X: 0.909091, Y: 170.582520, Z: -1042.775513
X: 4.909091, Y: 167.087372, Z: -1040.816284
X: 10.121212, Y: 166.854355, Z: -1041.673462
X: 7.212121, Y: 167.203873, Z: -1039.224365
X: 4.181818, Y: 168.485428, Z: -1038.734619
X: -1.515151, Y: 170.699020, Z: -1041.918335
X: 6.969697, Y: 169.300964, Z: -1040.816284
X: 10.848485, Y: 167.669907, Z: -1039.469360
X: 4.909091, Y: 165.456314, Z: -1043.387695
X: 1.393940, Y: 171.747574, Z: -1040.693848
X: 5.878788, Y: 171.281555, Z: -1039.224365
X: 5.515152, Y: 166.621353, Z: -1038.612305
X: 6.242424, Y: 164.640762, Z: -1039.591797
X: 0.787879, Y: 165.572815, Z: -1043.510132
X: 0.303031, Y: 171.165039, Z: -1040.448975
X: 5.636364, Y: 171.398056, Z: -1038.979492
X: 5.030303, Y: 168.834946, Z: -1038.489746
X: 10.484848, Y: 167.436890, Z: -1041.061279
X: 6.969697, Y: 168.485428, Z: -1041.795898
X: -2.000000, Y: 165.106796, Z: -1040.326416
X: 4.787879, Y: 166.504852, Z: -1041.673462
X: 8.060606, Y: 170.349503, Z: -1041.673462
X: 3.818182, Y: 164.640762, Z: -1040.571289
X: 7.575758, Y: 166.388336, Z: -1037.020386
X: 1.030303, Y: 164.524261, Z: -1039.591797
X: 4.666667, Y: 166.970871, Z: -1041.428467
X: 8.787879, Y: 169.883484, Z: -1040.816284
X: 7.212121, Y: 167.320389, Z: -1039.224365
X: 8.181818, Y: 167.786407, Z: -1042.653076
X: -0.666666, Y: 165.339798, Z: -1036.775513
X: 2.848485, Y: 168.485428, Z: -1038.244873
X: 7.575758, Y: 171.747574, Z: -1041.061279
X: 7.818182, Y: 168.019409, Z: -1039.346924
X: 3.939394, Y: 166.504852, Z: -1038.612305
X: 6.484849, Y: 170.699020, Z: -1041.061279
X: 1.515152, Y: 170.466003, Z: -1038.367310
X: 5.636364, Y: 168.834946, Z: -1039.346924
X: 9.151515, Y: 164.990280, Z: -1040.693848
X: 4.545455, Y: 164.873779, Z: -1041.061279
X: 1.393940, Y: 166.155334, Z: -1037.020386
X: 2.000001, Y: 167.203873, Z: -1038.612305
X: 2.121213, Y: 170.466003, Z: -1039.102051
X: 4.303030, Y: 168.951447, Z: -1040.326416
X: 3.575758, Y: 164.873779, Z: -1039.714355
X: 8.424243, Y: 168.368927, Z: -1038.857178
X: 2.000001, Y: 168.718445, Z: -1041.306152
X: 2.969697, Y: 168.252411, Z: -1037.387695
X: 4.909091, Y: 166.854355, Z: -1038.857178
X: 2.000001, Y: 164.058243, Z: -1038.734619
X: 1.393940, Y: 166.970871, Z: -1040.081543
X: 6.969697, Y: 167.203873, Z: -1038.979492
X: 4.787879, Y: 171.165039, Z: -1040.571289
X: 7.333333, Y: 169.533981, Z: -1038.612305
X: 2.484849, Y: 166.737854, Z: -1039.224365
X: 1.515152, Y: 166.271835, Z: -1040.326416
X: 6.727273, Y: 166.737854, Z: -1039.469360
X: 6.363637, Y: 167.203873, Z: -1038.979492
X: 3.454546, Y: 168.368927, Z: -1039.591797
X: 4.787879, Y: 166.388336, Z: -1040.204102
X: 1.515152, Y: 168.135910, Z: -1038.734619
X: 3.333334, Y: 167.087372, Z: -1037.142822
X: 5.636364, Y: 167.320389, Z: -1038.122437
X: 5.636364, Y: 166.621353, Z: -1042.653076
X: 2.606061, Y: 167.553391, Z: -1040.938721
X: 5.878788, Y: 171.281555, Z: -1039.836670
X: 5.757576, Y: 166.504852, Z: -1041.061279
X: 2.969697, Y: 168.368927, Z: -1039.102051
X: 3.818182, Y: 165.572815, Z: -1042.040771
X: 4.909091, Y: 168.485428, Z: -1040.326416
X: 4.181818, Y: 169.650482, Z: -1041.551025
X: 4.181818, Y: 167.786407, Z: -1039.224365
X: 5.757576, Y: 167.669907, Z: -1039.346924
X: 3.333334, Y: 167.786407, Z: -1041.061279
X: 5.515152, Y: 168.834946, Z: -1039.591797
X: 6.727273, Y: 166.621353, Z: -1039.714355
X: 6.363637, Y: 166.970871, Z: -1037.632568
X: 2.242425, Y: 167.786407, Z: -1040.816284
X: 6.000000, Y: 168.135910, Z: -1041.551025
X: 5.636364, Y: 168.601929, Z: -1041.918335
X: 1.636364, Y: 167.669907, Z: -1040.938721
X: 4.303030, Y: 169.533981, Z: -1040.326416
X: 5.515152, Y: 168.368927, Z: -1039.469360
X: 2.242425, Y: 167.320389, Z: -1039.346924
X: 4.060606, Y: 167.436890, Z: -1040.816284
X: 6.848485, Y: 167.786407, Z: -1040.326416
X: 4.303030, Y: 168.485428, Z: -1039.346924
X: 3.333334, Y: 170.932037, Z: -1041.183594
X: 6.242424, Y: 168.135910, Z: -1040.938721
X: 4.181818, Y: 166.388336, Z: -1037.632568
X: 7.454545, Y: 168.951447, Z: -1040.816284
X: 4.424242, Y: 166.970871, Z: -1038.734619
X: 5.757576, Y: 168.834946, Z: -1039.959229
X: 6.484849, Y: 169.067963, Z: -1042.285645
X: 3.939394, Y: 168.252411, Z: -1040.326416
X: 5.757576, Y: 167.902908, Z: -1039.469360
X: 4.303030, Y: 169.417480, Z: -1040.693848
X: 4.060606, Y: 168.951447, Z: -1038.244873
X: 4.181818, Y: 168.951447, Z: -1042.163208
X: 6.000000, Y: 167.436890, Z: -1040.571289
X: 3.212122, Y: 168.368927, Z: -1040.204102
X: 3.696970, Y: 165.922318, Z: -1039.224365
X: 5.272727, Y: 168.368927, Z: -1037.632568
X: 1.636364, Y: 167.902908, Z: -1039.224365
X: 4.666667, Y: 166.271835, Z: -1041.673462
X: 6.242424, Y: 169.883484, Z: -1041.061279
X: 5.030303, Y: 165.805832, Z: -1041.428467
X: 4.424242, Y: 165.572815, Z: -1040.571289
X: 5.636364, Y: 168.252411, Z: -1039.591797
X: 3.212122, Y: 168.951447, Z: -1038.367310
X: 5.272727, Y: 170.466003, Z: -1042.040771
X: 5.272727, Y: 165.572815, Z: -1041.061279
X: 4.666667, Y: 166.155334, Z: -1039.102051
X: 3.090910, Y: 169.999985, Z: -1040.081543
X: 5.151515, Y: 169.300964, Z: -1039.224365
X: 3.818182, Y: 167.786407, Z: -1040.938721
X: 6.242424, Y: 168.834946, Z: -1041.061279
X: 3.454546, Y: 166.970871, Z: -1037.510132
X: 3.090910, Y: 167.203873, Z: -1040.693848
X: 4.424242, Y: 170.116486, Z: -1038.857178
X: 5.030303, Y: 169.766983, Z: -1040.204102
X: 2.848485, Y: 167.320389, Z: -1040.693848
X: 5.393939, Y: 168.834946, Z: -1039.469360
X: 3.696970, Y: 169.067963, Z: -1037.632568
X: 6.242424, Y: 167.553391, Z: -1038.857178
X: 5.151515, Y: 168.718445, Z: -1040.204102
X: 3.939394, Y: 168.601929, Z: -1039.591797
X: 5.030303, Y: 169.650482, Z: -1039.224365
X: 1.878788, Y: 166.038818, Z: -1040.448975
X: 4.181818, Y: 167.436890, Z: -1040.571289
X: 6.000000, Y: 169.650482, Z: -1039.102051
X: 4.787879, Y: 168.834946, Z: -1038.734619
X: 2.969697, Y: 169.417480, Z: -1041.428467
X: 3.090910, Y: 169.067963, Z: -1038.000000
X: 2.121213, Y: 167.087372, Z: -1041.795898
X: 3.818182, Y: 167.436890, Z: -1039.836670
X: 5.030303, Y: 167.203873, Z: -1041.183594
X: 0.424243, Y: 169.184464, Z: -1039.714355
X: 4.545455, Y: 169.766983, Z: -1037.632568
X: 5.393939, Y: 172.213577, Z: -1039.346924
X: 6.363637, Y: 167.203873, Z: -1039.102051
X: 2.969697, Y: 166.970871, Z: -1040.816284
X: 4.545455, Y: 168.135910, Z: -1038.244873
X: 6.000000, Y: 171.864075, Z: -1040.938721
X: 3.212122, Y: 169.184464, Z: -1040.204102
X: 3.939394, Y: 165.805832, Z: -1041.795898
X: 1.272728, Y: 172.446594, Z: -1038.734619
X: 2.848485, Y: 171.048538, Z: -1038.612305
X: 4.909091, Y: 168.252411, Z: -1042.897949
X: 6.121212, Y: 168.601929, Z: -1039.102051
X: 2.121213, Y: 167.320389, Z: -1037.387695
X: -1.515151, Y: 169.417480, Z: -1040.693848
X: 4.181818, Y: 168.252411, Z: -1038.244873
X: 1.151515, Y: 164.407761, Z: -1041.673462
X: 1.757576, Y: 166.271835, Z: -1041.061279
