SWV ITM Data Console - ITM Port: 0
X: 47.818180, Y: -61.029121, Z: 939.428589
X: 50.484844, Y: -61.378639, Z: 939.183594
X: 45.999996, Y: -66.504852, Z: 937.224426
X: 50.727272, Y: -60.912621, Z: 938.816284
X: 46.121208, Y: -61.029121, Z: 938.448975
X: 48.303028, Y: -63.126209, Z: 939.795898
X: 45.999996, Y: -60.679607, Z: 938.693848
X: 48.424240, Y: -61.145630, Z: 938.571411
X: 50.242424, Y: -59.864079, Z: 940.163208
X: 49.393936, Y: -61.378639, Z: 938.081604
X: 48.787876, Y: -60.796116, Z: 937.101990
X: 51.212120, Y: -57.766991, Z: 939.551025
X: 47.454540, Y: -64.640778, Z: 940.040771
X: 46.848484, Y: -62.077667, Z: 935.999939
X: 50.484844, Y: -59.281551, Z: 941.142822
X: 48.181816, Y: -62.543686, Z: 939.795898
X: 47.212120, Y: -64.291260, Z: 938.938721
X: 46.606056, Y: -60.330097, Z: 938.816284
X: 47.212120, Y: -59.631065, Z: 939.551025
X: 49.272724, Y: -62.543686, Z: 936.979553
X: 48.060604, Y: -65.572815, Z: 937.101990
X: 46.969692, Y: -60.097084, Z: 936.734680
X: 49.151512, Y: -60.097084, Z: 941.632629
X: 46.969692, Y: -61.262135, Z: 939.428589
X: 48.666664, Y: -60.912621, Z: 940.897949
X: 51.575756, Y: -58.699028, Z: 937.714233
X: 48.060604, Y: -58.699028, Z: 936.122375
X: 49.030300, Y: -64.291260, Z: 937.346863
X: 45.636360, Y: -61.378639, Z: 940.163208
X: 47.575756, Y: -59.281551, Z: 937.101990
X: 47.939388, Y: -61.728153, Z: 939.428589
X: 49.272724, Y: -59.980583, Z: 937.469360
X: 49.878784, Y: -61.844658, Z: 939.673462
X: 49.030300, Y: -64.407761, Z: 938.326477
X: 49.272724, Y: -61.262135, Z: 937.224426
X: 51.454544, Y: -60.912621, Z: 940.530579
X: 48.666664, Y: -62.893204, Z: 940.163208
X: 48.060604, Y: -60.796116, Z: 939.673462
X: 46.484844, Y: -60.563103, Z: 937.959167
X: 50.727272, Y: -63.592228, Z: 934.775513
X: 47.696968, Y: -58.932037, Z: 936.489807
