SWV ITM Data Console - ITM Port: 0
X: 926.242310, Y: -196.757278, Z: 4.653061
X: 590.969666, Y: -36.097084, Z: 150.367340
X: 316.909058, Y: 39.398056, Z: 231.918365
X: -29.757576, Y: 107.320381, Z: 182.938782
X: -149.272705, Y: 97.766991, Z: 111.061218
X: -274.727264, Y: 20.174757, Z: -27.061226
X: -183.939392, Y: -72.213593, Z: 84.367340
X: 25.999998, Y: -315.126221, Z: -45.428574
X: 300.303009, Y: -504.097076, Z: -72.244896
X: 787.575684, Y: -705.883484, Z: 154.653061
X: 1079.939331, Y: -930.155273, Z: 156.612244
X: 1396.424072, Y: -775.203857, Z: 148.530609
X: 1441.151367, Y: -1105.029175, Z: -278.448975
X: 1376.787842, Y: -1097.572754, Z: -253.469376
X: 1514.969604, Y: -1046.194214, Z: -159.795914
X: 1356.302979, Y: -1043.747559, Z: -209.142853
X: 1305.878662, Y: -930.504822, Z: -133.714279
X: 957.272644, Y: -1091.514526, Z: -104.938774
X: 801.757507, Y: -772.757202, Z: 269.510193
X: 824.060547, Y: -850.232971, Z: -136.775513
X: 663.696899, Y: -886.466003, Z: -144.122437
X: 637.515137, Y: -702.388306, Z: 173.877548
X: 779.696960, Y: -773.223267, Z: 28.530609
X: 859.333252, Y: -986.543640, Z: -131.755096
X: 849.030212, Y: -1003.320374, Z: 67.224487
X: 965.393860, Y: -1175.398071, Z: 7.714287
X: 1084.302856, Y: -1347.825195, Z: -181.346939
X: 998.605957, Y: -1393.145630, Z: -111.306122
X: 971.090820, Y: -1144.524170, Z: -95.755104
X: 1192.302979, Y: -1139.631104, Z: -175.836731
X: 1269.757446, Y: -1073.339722, Z: -192.734695
X: 1083.696899, Y: -783.009705, Z: -254.081635
X: 1147.575684, Y: -544.990234, Z: -119.755096
X: 1056.666626, Y: -395.747559, Z: -55.346939
X: 801.878723, Y: -211.553391, Z: 97.591843
X: 596.909058, Y: -133.728149, Z: 123.428558
X: 158.969681, Y: -50.077667, Z: 195.551010
X: -230.484833, Y: 62.349510, Z: 199.224487
X: -282.848450, Y: 98.116501, Z: 126.979584
X: -196.545441, Y: -103.203880, Z: 49.346931
X: -136.303024, Y: -243.825241, Z: 177.795914
X: 179.454529, Y: -572.951416, Z: 8.204079
X: 535.696960, Y: -669.883484, Z: 71.020401
X: 1068.787720, Y: -1011.009644, Z: 72.612228
X: 1231.575684, Y: -897.417419, Z: 110.571426
X: 1625.030273, Y: -712.873718, Z: 237.306091
X: 1189.999878, Y: -1215.359253, Z: -358.408173
X: 1010.848389, Y: -1271.398071, Z: 225.795898
X: 994.727234, Y: -1167.708618, Z: 56.693878
X: 1021.393860, Y: -1260.330078, Z: -76.163269
X: 1022.363586, Y: -1022.194092, Z: 82.040817
X: 768.181763, Y: -1072.873779, Z: -146.693878
X: 578.606018, Y: -974.893127, Z: -137.142853
X: 561.151489, Y: -792.912598, Z: 27.428574
X: 642.121155, Y: -883.553406, Z: -5.877556
X: 547.333252, Y: -781.495117, Z: -2.204082
X: 661.151489, Y: -760.058228, Z: 74.816315
X: 836.545410, Y: -1106.776611, Z: -275.142853
X: 832.666626, Y: -1171.902954, Z: -147.428574
X: 935.333252, Y: -1061.223267, Z: 189.061218
X: 1103.696899, Y: -1406.660156, Z: -27.061226
X: 1048.060547, Y: -1437.766968, Z: -178.897949
X: 1022.606018, Y: -1309.378662, Z: -126.489792
X: 948.908997, Y: -1165.844604, Z: -246.734695
X: 1065.999878, Y: -792.796082, Z: 27.918365
X: 1203.696899, Y: -736.990295, Z: 64.040810
