SWV ITM Data Console - ITM Port: 0
X: 1802.605957, Y: -638.427124, Z: 173.142853
X: 1194.727173, Y: -996.796082, Z: 98.081635
X: 805.272705, Y: -962.776672, Z: -214.408157
X: 1141.999878, Y: -864.796082, Z: 37.469383
X: 1136.787842, Y: -745.262146, Z: 18.489792
X: 1045.636353, Y: -805.262146, Z: 45.061226
X: 1023.212036, Y: -688.058228, Z: 125.142853
X: 1249.272705, Y: -717.650452, Z: 135.306122
X: 1256.181763, Y: -869.572815, Z: 117.918365
X: 1121.636353, Y: -899.514526, Z: 69.428574
X: 1208.424072, Y: -972.097046, Z: -139.714279
X: 1328.787842, Y: -1095.941772, Z: -154.775513
X: 1429.636230, Y: -1159.087280, Z: 53.020401
X: 1284.787720, Y: -1005.417480, Z: -60.489796
X: 1252.909058, Y: -880.058228, Z: -75.795914
X: 1311.090820, Y: -756.446533, Z: -104.816330
X: 1226.727173, Y: -529.378601, Z: -19.469391
X: 1144.787720, Y: -379.553375, Z: 4.040817
X: 767.090820, Y: -156.097076, Z: 32.081627
X: 553.878784, Y: -65.805824, Z: -67.102043
X: -50.969692, Y: 51.980583, Z: 43.959183
X: -829.636292, Y: 246.776672, Z: 218.081604
X: -965.999939, Y: 347.203857, Z: 219.673462
X: -795.333252, Y: 339.048523, Z: 392.938782
X: -627.575745, Y: 191.203873, Z: 291.183685
X: -85.515144, Y: 255.398041, Z: 182.326523
X: 863.696899, Y: -224.601929, Z: 105.428558
X: 798.363586, Y: -206.077652, Z: -100.530609
X: 1866.727051, Y: -74.893196, Z: -41.755104
X: 1261.636353, Y: -503.631073, Z: 60.979591
X: 497.272705, Y: -651.592163, Z: 234.979584
X: 1199.454468, Y: -640.990295, Z: 170.938766
X: 1281.636230, Y: -723.941711, Z: 215.387756
X: 1049.636353, Y: -871.669861, Z: 145.714279
X: 999.454468, Y: -1056.213501, Z: -191.510193
X: 1105.272583, Y: -959.864075, Z: -172.653046
X: 1143.090820, Y: -850.116516, Z: -9.428574
X: 1129.757446, Y: -649.029114, Z: 102.244904
X: 1147.333252, Y: -593.106750, Z: 293.265289
X: 1413.272705, Y: -580.757263, Z: 357.550995
X: 1574.121094, Y: -824.601929, Z: -1.469387
X: 1415.090698, Y: -1022.660095, Z: -38.448982
X: 1146.000000, Y: -937.029053, Z: -78.367348
